geoid,state,name,area,county,coverage,vacant_houses_pct,houses_single_occupancy_pct,utility_gas_pct,bottled_gas_pct,electricity_pct,fuel_oil_pct,coal_pct,other_fuels_pct,no_fuel_pct,median_income,population_below_poverty_pct,education_below_hs_pct,population,population_65_pct,population_white_pct,population_minority_pct,males_under_5,females_under_5,youth_population,population_under_5_pct,population_disability_pct,limited_english_ability_pct,dependent_age_groups_pct,houses_no_internet_pct,houses_no_vehicle_pct,tree_canopy_pct,lack_tree_canopy_pct,impervious_surfaces_pct,low_surfacetemp_summer,high_surfacetemp_summer,avg_surfacetemp_summer,night_air_temp,afternoon_air_temp,morning_air_temp,city,climate_zone,region
6037101110,California,"Census Tract 1011.10, Los Angeles County, California",1.184451583,"Los Angeles County, California",100.0000001,9.9,28.6,72,3.1,24.2,0,0,0,0.7,"15,000 to 74,999",13.8,15.2,4283,17,61.1,38.9,121,162,283,6.6,10,22.5,37.4,16.3,6.2,4.6,95.4,47.4,112.445786,114.308945,113.377365,0.67494,0.475659,2.556377,"Los Angeles, CA",Temperate,West
6037101220,California,"Census Tract 1012.20, Los Angeles County, California",0.72456958,"Los Angeles County, California",99.9999964,2,27,71,3.1,23.5,0,0,0,2.4,"15,000 to 74,999",15.8,19.9,3702,16.1,48.9,51.1,51,87,138,3.7,15.9,34.3,36.4,20.7,8.6,4.8,95.2,46.8,113.1563,113.1563,113.1563,-0.743444,-0.232231,2.791467,"Los Angeles, CA",Temperate,West
6037101300,California,"Census Tract 1013, Los Angeles County, California",2.517554139,"Los Angeles County, California",94.08135182,9.7,21.2,89.2,0.6,10.3,0,0,0,0,"75,000 to 149,999",5.7,10.2,3884,24.2,80.5,19.5,58,31,89,2.3,17.2,20.2,35.5,11.1,3.4,5.5,94.5,29.6,106.193161,110.677368,109.197107,-2.249843,-0.598446,3.099868,"Los Angeles, CA",Temperate,West
6037102104,California,"Census Tract 1021.04, Los Angeles County, California",0.930350141,"Los Angeles County, California",54.08491863,8.4,22.5,71,0.8,23.1,0,0,1.1,4,"75,000 to 149,999",12.1,10.2,3721,19.8,69,31,127,91,218,5.9,13.8,28.5,35,13.3,7.5,2.8,97.2,39.7,112.682632,113.882629,113.282631,-0.127659,-0.466931,0.86497,"Los Angeles, CA",Temperate,West
6037102105,California,"Census Tract 1021.05, Los Angeles County, California",0.511082059,"Los Angeles County, California",99.99999681,4.3,15,79.6,0,11.9,0,0,0,8.5,"75,000 to 149,999",18.7,20.2,1905,10.2,22.4,77.6,34,13,47,2.5,5.4,16.9,27,6.4,0.5,2.6,97.4,65.4,115.619476,115.619476,115.619476,-0.755972,-0.8143,0.608339,"Los Angeles, CA",Temperate,West
6037103101,California,"Census Tract 1031.01, Los Angeles County, California",1.161086566,"Los Angeles County, California",55.16704982,8.8,18.8,83.4,2.1,11,0,0,0.8,2.7,"75,000 to 149,999",4.7,13.3,2428,15.2,73.8,26.2,152,106,258,10.6,14,20.1,34.3,4.2,1.1,3,97,27.4,112.493164,112.824738,112.658951,0.482059,1.002377,0.907127,"Los Angeles, CA",Temperate,West
6037103102,California,"Census Tract 1031.02, Los Angeles County, California",1.286804351,"Los Angeles County, California",100.0000006,6.5,19.3,79.4,1,17.6,0,0,0.5,1.4,"75,000 to 149,999",5.7,19,4734,17.2,56,44,97,41,138,2.9,13.1,32.4,32.9,10,4.9,3.7,96.3,51.6,114.482635,114.482635,114.482635,0.878072,0.744619,0.172288,"Los Angeles, CA",Temperate,West
6037104103,California,"Census Tract 1041.03, Los Angeles County, California",0.983522607,"Los Angeles County, California",99.89338981,4,13.2,73.1,0.5,21.2,0,0,0,5.2,"75,000 to 149,999",5.3,26.4,3431,12.8,11,89,59,95,154,4.5,12.3,27.1,32.4,15.5,3.2,2.9,97.1,48.9,117.214211,117.214211,117.214211,-0.163917,-0.344875,1.292015,"Los Angeles, CA",Temperate,West
6037104105,California,"Census Tract 1041.05, Los Angeles County, California",0.60657451,"Los Angeles County, California",100.0000037,2.7,13.4,57.2,2.6,28.8,0,0,0,11.4,"15,000 to 74,999",22.3,37,6054,9.4,5.7,94.3,106,229,335,5.5,13.8,39.3,33.6,17.1,10,1.3,98.7,62.3,118.887894,118.887894,118.887894,-0.030542,-0.339433,0.199744,"Los Angeles, CA",Temperate,West
6037104108,California,"Census Tract 1041.08, Los Angeles County, California",1.137653134,"Los Angeles County, California",99.99999899,1.6,20.1,50.5,0.6,40.3,0,0,0,8.6,"15,000 to 74,999",15.7,39.2,6001,9.8,5.4,94.6,183,222,405,6.7,13.2,33.2,36.6,24.1,15.6,1.2,98.8,51.6,118.366844,118.366844,118.366844,0.411522,0.115812,1.086406,"Los Angeles, CA",Temperate,West
