City,State,lat,long
Sacramento,California,-121.49085,38.57944
San Bernardino,California,-117.29412,34.10524
Berkeley,California,-122.27054,37.86988
Victorville,California,-117.32364,34.51167
San Diego,California,-117.16171,32.71568
San Jose,California,-121.88542,37.33865
Boulder,Colorado,-105.27924,40.01574
San Francisco,California,-122.41966,37.77712
Fort Lauderdale,Florida,-80.14357,26.12401
Jacksonville,Florida,-81.65622,30.33147
Washington,District of Columbia,-77.03196,38.89037
Miami,Florida,-80.19773,25.77481
Los Angeles,California,-118.24545,34.05357
Los Angeles,California,-118.24545,34.05357
Atlanta,Georgia,-84.39111,33.74831
Nampa,Idaho,-116.56962,43.58263
Clarksville,Indiana,-85.76216,38.28495
Boise,Idaho,-116.1934,43.60764
Omaha,Nebraska,-95.94026,41.26068
New Orleans,Louisiana,-90.07775,29.9537
Richmond,Indiana,-84.89029,39.83041
Baltimore,Maryland,-76.60926,39.29058
West Palm Beach,Florida,-80.05329,26.7144
Worcester,Massachusetts,-71.80219,42.26341
Rockville,Maryland,-77.15118,39.08196
Boston,Massachusetts,-71.05674,42.35866
Detroit,Michigan,-83.048,42.33168
Arlington,Massachusetts,-71.15676,42.41629
Columbia,Missouri,-92.33415,38.95252
Kansas City,Missouri,-94.58311,39.10344
Jackson,Mississippi,-90.18044,32.29896
Las Vegas,Nevada,-115.14001,36.17193
Albuquerque,New Mexico,-106.64905,35.08423
Newark,New Jersey,-74.17421,40.73197
Yonkers,New York,-73.89874,40.93299
Las Cruces,New Mexico,-106.77785,32.30691
Columbus,Ohio,-83.00275,39.96199
Cincinnati,Ohio,-84.51439,39.12711
Portland,Oregon,-122.67563,45.51179
Gresham,Oregon,-122.43531,45.50622
New York,New York,-73.99406,40.73245
Manhattan,New York,-74.00601,40.7145
Philadelphia,Pennsylvania,-75.16218,39.95222
Raleigh,North Carolina,-78.6427,35.78547
Columbia,South Carolina,-81.04537,33.99882
Nashville,Tennessee,-86.77816,36.16784
Charleston,South Carolina,-79.9316,32.78115
Knoxville,Tennessee,-83.92103,35.96068
Providence,Rhode Island,-71.41198,41.82388
Houston,Texas,-95.36952,29.76078
El Paso,Texas,-106.48749,31.75916
Austin,Texas,-97.74299,30.26759
Charlottesville,Virginia,-78.47756,38.03213
Burlington,Vermont,-73.21277,44.47593
Richmond,Virginia,-77.43367,37.54068
Arlington,Virginia,-77.08629,38.8905
Harrisonburg,Virginia,-78.8697,38.45163
Abingdon,Virginia,-81.97496,36.71064
Farmville,Virginia,-78.3926,37.30198
Lynchburg,Virginia,-79.14318,37.4144
Roanoke,Virginia,-79.94057,37.27152
Virginia Beach,Virginia,-76.05968,36.75531
Petersburg,Virginia,-77.40348,37.22815
Winchester,Virginia,-78.16405,39.184
Seattle,Washington,-122.32945,47.60357
Spokane,Washington,-117.41162,47.65726
Milwaukee,Wisconsin,-87.9069,43.04223
Salem,Virginia,-80.05282,37.29372
