geoid,minority_afternoon_air_temp,white_afternoon_air_temp,climate_zone,population,population_minority
51191010502,0.0071180876499999995,0.09038996235,Temperate,3926,286.59799999999996
35001000107,-0.299265886441,-0.813246702559,Dry,2448,658.512
35001000108,-0.181590012344,-0.24668831865600005,Dry,2930,1242.32
35001000109,0.208925708145,0.36662720685500005,Dry,2443,886.809
35001000110,0.15845565880799997,0.23967413719199998,Dry,3884,1545.8319999999999
35001000111,-0.024287690413999998,-0.040135891586,Dry,3042,1146.834
35001000112,-0.324287496365,-0.738950196635,Dry,2011,613.355
35001000113,-0.05348785512399999,-0.078907825876,Dry,3463,1399.052
35001000114,0.19272448509999998,0.1654994649,Dry,3173,1707.0739999999998
35001000115,0.07777714638,0.05867398762,Dry,3329,1897.5299999999997
35001000116,-0.166610572236,-0.33522850076399996,Dry,2890,959.48
35001000117,0.326218285318,0.40521284768199994,Dry,2514,1121.244
35001000118,0.664245572016,0.7924333139840001,Dry,2373,1082.088
35001000119,0.363211403298,0.542552694702,Dry,1809,725.409
35001000120,0.123236842932,0.100423489068,Dry,2998,1651.8980000000001
35001000121,0.155776486692,0.19507145630800002,Dry,5712,2536.128
35001000122,0.482178337642,0.5798884853580001,Dry,4448,2019.3919999999998
35001000123,0.22656364473600002,0.166776016264,Dry,4290,2471.0400000000004
35001000124,0.946092202483,0.649341528517,Dry,3971,2354.803
35001000125,-0.34651385266999996,-0.45933231632999993,Dry,3925,1687.75
35001000126,-0.136446599124,-0.208115519876,Dry,2480,982.08
35001000127,0.147689634568,0.16721363743200002,Dry,2754,1291.626
35001000128,0.41509135772100003,0.23450388127900001,Dry,3844,2456.3160000000003
35001000129,0.1569327795,0.1419868005,Dry,3940,2068.5
35001000203,0.36830187855999996,0.37424223144,Dry,1916,950.336
35001000204,0.8914721881259999,0.4531314138740001,Dry,3214,2130.8819999999996
35001000205,0.772513883493,0.459565675507,Dry,3398,2130.546
35001000206,0.28828905210000005,0.24557956290000002,Dry,2929,1581.66
35001000207,0.79817996908,0.7367815099199999,Dry,2741,1425.32
35001000208,1.502770765674,0.6501959473260001,Dry,2787,1945.3259999999998
35001000300,0.41685301802299995,0.6715360629770001,Dry,6230,2386.0899999999997
35001000401,0.464634118512,0.6741749954880001,Dry,4193,1710.744
35001000402,0.23385701179399998,0.47695457420599996,Dry,3476,1143.6039999999998
35001000501,1.519754993748,0.7587382502519999,Dry,3158,2106.386
35001000502,0.475488417222,0.695665319778,Dry,4612,1872.4720000000002
35001000601,0.8771028941090001,0.7999580888910001,Dry,3982,2082.5860000000002
35001000603,0.626155570968,0.10533458203200001,Dry,4469,3825.464
35001000604,1.045931713886,0.232713413114,Dry,4180,3419.24
35001000704,0.3380014007,0.2348823293,Dry,3368,1987.12
35001000707,0.500392981672,0.150313106328,Dry,6774,5209.206
35001000708,0.46084255401599994,0.297122172984,Dry,6415,3900.3199999999997
35001000710,-0.12304382545699999,-0.15470747354300002,Dry,7213,3195.3589999999995
35001000711,-0.34373403681600007,-0.492601819184,Dry,4824,1982.6640000000002
35001000712,0.041392321085,0.034556891915,Dry,4107,2238.315
35001000713,0.23445210262600003,0.12458633937400002,Dry,5610,3663.33
35001000714,0.266313469764,0.121333502236,Dry,5201,3573.0870000000004
35001000901,0.32283201551999996,0.06149181248,Dry,7168,6021.12
35001000903,0.317061589291,0.18701088970899998,Dry,5659,3559.511
35001000904,0.13025791525,0.049408174750000006,Dry,4355,3157.375
35001001101,-0.009060007874,-0.011253911125999999,Dry,4713,2101.998
35001001102,-0.17934174741599998,-0.141484276584,Dry,3094,1729.5459999999998
35001001200,0.30644719118400005,0.10544419481600001,Dry,7108,5288.352000000001
35001001300,0.4390838971120001,0.022138683888000003,Dry,4236,4032.6720000000005
35001001400,1.063806772464,0.22098401553599997,Dry,2641,2186.748
35001001500,1.023032873016,0.6992446909840001,Dry,2097,1245.618
35001001600,0.681414282472,0.582805165528,Dry,2456,1323.784
35001001700,0.156364841115,0.340031479885,Dry,4578,1442.07
35001001800,0.620224549956,0.423924524044,Dry,2010,1193.94
35001001900,0.5833348320459999,0.8972104269539999,Dry,1036,408.18399999999997
35001002000,1.69705666184,0.7553373581599999,Dry,2094,1449.0480000000002
35001002100,2.2828125365500003,1.22920675045,Dry,1422,924.3000000000001
35001002200,1.016708806704,1.137335275296,Dry,2949,1391.928
35001002300,0.8268553911800001,0.08177690682,Dry,8941,8136.31
35001002401,0.9437032431779999,0.191920394822,Dry,4851,4031.1809999999996
35001002402,1.389282883945,0.096581163055,Dry,7751,7247.185
35001002500,0.44998628939999996,0.1706844546,Dry,2796,2027.1
35001002600,0.917092119328,0.571693788672,Dry,1057,651.112
35001002700,1.6696017766679998,0.8950706913319999,Dry,4085,2659.3349999999996
35001002900,1.222394627544,0.49445175945600006,Dry,4314,3071.568
35001003001,0.326349513841,0.147307255159,Dry,5227,3601.4030000000002
35001003002,0.335727232614,0.24511573038600004,Dry,4261,2462.8579999999997
35001003100,0.333981193206,0.49888961279399996,Dry,2564,1028.164
35001003201,0.7414850708580001,0.29700942614200004,Dry,2603,1858.5420000000001
35001003202,0.6789934847360001,0.22392338326400002,Dry,4950,3722.4
35001003400,1.0265558934949999,0.355080571505,Dry,4521,3359.103
35001003501,0.307446752669,0.14668434433099997,Dry,6043,4091.1110000000003
35001003502,0.392945305881,0.586968175119,Dry,5239,2100.839
35001003600,0.49737796582800003,0.271366958172,Dry,7562,4892.6140000000005
35001003707,0.732323139072,0.902326724928,Dry,4665,2089.9199999999996
35001003712,0.08582838545199999,0.135378793548,Dry,4812,1867.0559999999998
35001003714,1.103929228346,0.659535992654,Dry,7238,4530.988
35001003715,0.025495897065,0.041422467935,Dry,3741,1425.321
35001003717,0.002629964266,0.0036169817339999997,Dry,5264,2216.1440000000002
35001003718,0.213568719672,0.224072099328,Dry,2557,1247.816
35001003719,0.035655694338,0.04804311866199999,Dry,5546,2362.596
35001003722,0.40307276035,0.28476471465,Dry,6658,3901.5879999999997
35001003723,0.662576508594,0.7715717784059999,Dry,5770,2665.7400000000002
35001003724,0.39418232788999996,0.70688562711,Dry,3161,1131.638
35001003725,0.593705389095,0.711141619905,Dry,4154,1890.0700000000002
35001003726,0.14573201216099999,0.49625923083900003,Dry,2415,548.2049999999999
35001003728,0.267227769738,0.33193763326199993,Dry,4244,1892.824
35001003730,-0.292251369388,-0.5880238396119999,Dry,4428,1470.096
35001003732,-0.13929630437600002,-0.18240416762400002,Dry,6938,3004.154
35001003733,1.5409061908239998,0.575723192176,Dry,3611,2628.808
35001003735,0.272926256922,0.18654555607800002,Dry,7007,4162.157999999999
35001003736,0.566192471229,0.25082408177099996,Dry,2365,1638.945
35001003737,-0.197305323908,-0.38130266409200003,Dry,2745,936.0450000000001
35001003738,0.19921860380499998,0.3716083411949999,Dry,4740,1654.26
35001004300,-0.044590286570000005,-0.00836729843,Dry,5321,4480.282
35001004401,0.6663695490830001,0.088295851917,Dry,3193,2819.419
35001004402,0.44397541438800003,0.10144892761200001,Dry,4080,3321.1200000000003
35001004501,-0.004674929028,-4.3987297199999997e-4,Dry,3752,3429.328
35001004502,0.101254067621,0.012642521379,Dry,4163,3700.907
35001004603,0.33260317061199995,0.055498545388000003,Dry,4037,3459.709
35001004604,0.40476351566200003,0.099300638338,Dry,5322,4273.566
35001004713,1.436440422016,0.104804665984,Dry,6679,6224.828
35001004716,0.9163081484029999,0.613421648597,Dry,1919,1149.481
35001004717,0.919357259482,0.488540534518,Dry,7440,4858.320000000001
35001004720,0.609481124692,0.679062479308,Dry,3785,1790.3049999999998
35001004722,0.38652227918200005,0.417058342818,Dry,5102,2454.0620000000004
35001004723,0.796791089892,0.723802593108,Dry,6876,3603.0240000000003
35001004724,0.8556291675119999,0.705737926488,Dry,3076,1685.6479999999997
35001004725,0.52124292966,0.33325367634,Dry,4135,2522.35
35001004726,0.643104355082,0.379319102918,Dry,2345,1475.005
35001004727,0.6163763157650001,0.5145894012350001,Dry,1843,1004.4350000000001
35001004728,0.82687753158,0.73326875442,Dry,5344,2832.32
35001004729,0.688215467775,0.409416857225,Dry,4026,2524.302
35001004733,1.666565624052,0.22296456194800002,Dry,7071,6236.622
35001004734,1.67091998016,0.06962166584,Dry,6573,6310.08
35001004735,1.5186150386550001,0.081611556345,Dry,2028,1924.5720000000001
35001004737,1.50772066224,0.19784569775999997,Dry,8365,7394.66
35001004738,1.436585594418,0.16317564658199998,Dry,6311,5667.278
35001004739,1.5811258493339997,0.14123346366599998,Dry,7213,6621.534
35001004740,1.40622202263,0.18272941537,Dry,7203,6374.655
35001004741,0.872297851367,0.12234051963300001,Dry,7253,6360.881
35001004742,0.7992688637140001,0.504595514286,Dry,6014,3686.582
35001004743,0.9329186713,0.2786640187,Dry,4211,3242.4700000000003
35001004745,0.859665423636,0.7382256983640001,Dry,6238,3356.0439999999994
35001004747,0.901439544,0.5860844559999999,Dry,5256,3185.136
35001004748,0.14665772305000002,0.13005496195,Dry,10224,5418.72
35001004749,1.304840088576,0.394170443424,Dry,4536,3483.648
35001004750,1.27894570698,0.37557655302,Dry,6459,4992.807
35001004751,0.59839667506399985,0.455118597936,Dry,4112,2335.616
35001004752,0.94276530068,0.90217657932,Dry,4020,2054.2200000000003
35001004753,0.91263380961,0.54524767539,Dry,4171,2611.046
51013100100,-0.0518646238,-0.18388366620000002,Temperate,5296,1165.1200000000001
51013100200,-0.099783041955,-0.543978519045,Temperate,6600,1023
51013101000,-0.064851568209,-0.21834305279099997,Temperate,3308,757.5319999999999
51013101100,0.001657025734,0.008147860266,Temperate,5934,1002.8459999999999
51013101200,-0.10223604408600001,-0.19757640191400003,Temperate,4037,1376.6170000000002
25017332200,-0.44767558413599995,-0.785590487864,Continental,9434,3424.542
25017333100,-0.24361093443999998,-1.32807251356,Continental,7761,1202.955
25017333200,-0.13867265812500001,-0.8885322168750001,Continental,5199,701.865
25017333300,-0.06949567006400001,-0.186003116936,Continental,3535,961.5200000000001
25017333400,-0.113211291385,-0.519254023615,Continental,6284,1124.836
25017333501,-0.13946420374200003,-0.610343343258,Continental,5842,1086.612
25017333502,-0.08188310672,-0.35366533328,Continental,3209,603.292
25017333600,-0.19859753461500002,-0.291766748385,Continental,8474,3431.9700000000003
25017334100,-0.16503285971999998,-1.21024097128,Continental,6844,821.28
25017334200,-0.102584476475,-1.4756382385250002,Continental,3998,259.87
25017336100,-0.04083058926,-0.36343267074,Continental,5481,553.5809999999999
25017336200,0.0025570953760000003,0.055558708623999996,Continental,6065,266.86
25017336401,-0.4504774414239999,-0.8590500045759999,Continental,5380,1850.7199999999998
25017336402,0.09279679878000001,0.53847394122,Continental,4605,676.935
25017337101,-0.22022824426799997,-0.859321972732,Continental,3159,644.4359999999999
25017337102,-0.146339789763,-1.5357267592369999,Continental,5553,483.111
25017337201,-0.15153788495,-0.7613409400500001,Continental,3211,533.0260000000001
25017337202,-0.051805525604,-0.8262542303959999,Continental,5204,307.036
25017337300,-0.158415639417,-0.9192417715829999,Continental,6096,896.112
25017338100,-0.32353732705500005,-0.975809367945,Continental,3177,791.073
25017338200,-0.08717644915199999,-0.21978287884799996,Continental,4087,1160.7079999999999
25017338300,-0.107175099291,-1.124722593709,Continental,3428,298.236
25017338400,-0.32476935739900004,-1.069090545601,Continental,6224,1450.192
25017338500,-0.236966797448,-1.190544030552,Continental,5822,966.452
25017339100,-0.32397937561,-1.40853065439,Continental,6388,1194.556
25017339200,-0.124878384064,-0.898714927936,Continental,5995,731.39
25017339300,-0.098286232096,-0.100673751904,Continental,2617,1292.798
25017339400,-0.020928596624,-0.079689656376,Continental,3690,767.5200000000001
25017339900,0.29598042618000003,0.8294204338200001,Continental,5101,1341.563
25017340000,0.11542111182800001,0.24983557117200003,Continental,2463,778.308
25017340100,-0.163274612774,-0.37916596122600005,Continental,6430,1935.4299999999998
25017341101,-0.398513270095,-0.346371346905,Continental,3876,2073.6600000000003
25017341102,0.07756530514,0.10755475485999999,Continental,4320,1810.08
25017341200,1.222210090528,1.1013832374719998,Continental,6945,3653.07
25017341300,1.5236921365140002,0.7269609454859999,Continental,5455,3693.0350000000003
25017341400,1.376045099616,1.230100922384,Continental,6541,3453.648
25017341500,1.491323734225,0.6120947907750001,Continental,5449,3863.3410000000003
25017341600,-0.144574205484,-0.162377398516,Continental,5976,2814.6960000000004
